*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BusBoard
*Date=23:02:02
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
245;;;108.509;-9.36;0;Bottom;Copper Fill195
246;;;183.896;-19.5835;0;Bottom;Copper Fill115
247;;THT;107.244;-9.487;-90;Bottom;J8
248;;;33.7274;-35.0277;-90;Bottom;TXT9
249;;3 mm [THT];123.063;-19.5201;-90;Bottom;LED5
250;;;297.675;-44.5644;0;Bottom;Copper Fill211
251;;;83.1143;-3.0101;0;Bottom;Hole4
252;;;312.915;-45.6312;0;Bottom;Copper Fill210
253;;;306.984;-8.1535;0;Bottom;Copper Fill75
254;;;172.009;-38.57;0;Bottom;Copper Fill23
255;;;262.636;-19.5835;0;Bottom;Copper Fill91
256;;;246.024;-8.1535;0;Bottom;Copper Fill85
257;;;163.884;-31.6889;0;Bottom;TXT4
258;;;26.4414;-19.5835;0;Bottom;Copper Fill156
259;;;247.396;-19.5835;0;Bottom;Copper Fill94
260;;THT;216.464;-9.487;-90;Bottom;J12
261;;;113.69;-10.5284;0;Bottom;Copper Fill56
262;;;151.689;-38.57;0;Bottom;Copper Fill15
263;;;169.405;-18.8342;0;Bottom;Copper Fill225
264;;;105.905;-18.8342;0;Bottom;Copper Fill233
265;;;286.41;-10.5284;0;Bottom;Copper Fill67
266;;;228.244;-8.1535;0;Bottom;Copper Fill98
267;;;3.10435;-47.46;0;Bottom;Hole1
268;;;27.2161;-18.8342;0;Bottom;Copper Fill155
269;;3 mm [THT];311.024;-19.5201;-90;Bottom;LED14
270;;;199.885;-18.8342;0;Bottom;Copper Fill111
271;;THT;201.224;-9.487;-90;Bottom;J13
272;;;301.65;-10.5284;0;Bottom;Copper Fill68
273;;;175.87;-43.015;0;Bottom;Copper Fill164
274;;;250.825;-9.36;0;Bottom;Copper Fill45
275;;3 mm [THT];138.303;-19.5201;-90;Bottom;LED1
276;;;297.675;-42.8626;0;Bottom;Copper Fill73
277;;;128.93;-10.5284;0;Bottom;Copper Fill57
278;;THT;249.484;-9.487;-90;Bottom;J19
279;;;153.029;-15.7802;0;Bottom;TXT5
280;;;151.625;-20.3328;0;Bottom;Copper Fill226
281;;;43.9238;-15.7802;0;Bottom;TXT5
282;;;81.9404;-10.5284;0;Bottom;Copper Fill54
283;;;130.759;-41.1354;0;Bottom;Copper Fill1
284;;;202.489;-9.36;0;Bottom;Copper Fill201
285;;;295.061;-38.1378;0;Bottom;TXT1
286;;;120.396;-19.5835;0;Bottom;Copper Fill132
287;;;199.885;-20.3328;0;Bottom;Copper Fill110
288;;;213.004;-8.1535;0;Bottom;Copper Fill99
289;;THT;264.724;-9.487;-90;Bottom;J18
290;;;12.9776;-15.7802;0;Bottom;TXT5
291;;;93.345;-9.36;0;Bottom;Copper Fill35
292;;;42.4561;-18.8342;0;Bottom;Copper Fill152
293;;;310.515;-15.7802;0;Bottom;TXT5
294;;;42.4561;-20.3328;0;Bottom;Copper Fill240
295;;3 mm [THT];265.304;-19.5201;-90;Bottom;LED11
296;;;201.615;-3.49901;0;Bottom;TXT6
297;;;161.854;-3.0101;0;Bottom;Hole9
298;;;98.4504;-10.5284;0;Bottom;Copper Fill55
299;;;107.355;-15.7802;0;Bottom;TXT5
300;;;172.009;-43.6246;0;Bottom;Copper Fill163
301;;;108.585;-9.36;0;Bottom;Copper Fill36
302;;;60.325;-9.36;0;Bottom;Copper Fill33
303;;;202.565;-9.36;0;Bottom;Copper Fill42
304;;;28.6861;-15.7802;0;Bottom;TXT5
305;;;232.969;-9.36;0;Bottom;Copper Fill203
306;;;311.785;-9.36;0;Bottom;Copper Fill49
307;;;136.385;-20.3328;0;Bottom;Copper Fill228
308;;;146.609;-38.57;0;Bottom;Copper Fill13
309;;;14.5288;-9.36;0;Bottom;Copper Fill189
310;;;296.545;-9.36;0;Bottom;Copper Fill48
311;;THT;58.9844;-9.487;-90;Bottom;J5
312;;3 mm [THT];250.064;-19.5201;-90;Bottom;LED10
313;;;151.625;-20.3328;0;Bottom;Copper Fill122
314;;THT;137.724;-9.487;-90;Bottom;J9
315;;;75.4888;-9.36;0;Bottom;Copper Fill193
316;;3 mm [THT];107.823;-19.5201;-90;Bottom;LED6
317;;;199.885;-18.8342;0;Bottom;Copper Fill222
318;;;179.629;-38.57;0;Bottom;Copper Fill26
319;;;250.749;-9.36;0;Bottom;Copper Fill204
320;;;182.524;-8.1535;0;Bottom;Copper Fill105
321;;;266.065;-9.36;0;Bottom;Copper Fill46
322;;;123.749;-9.36;0;Bottom;Copper Fill196
323;;;320.604;-3.0101;0;Bottom;Hole5
324;;;19.7104;-10.5284;0;Bottom;Copper Fill50
325;;;122.428;-15.7802;0;Bottom;TXT5
